review_id,customer_id,hotel_id,rating,review_date
R001,C001,H001,5,2026-08-06
R002,C002,H007,5,2026-08-08
R003,C003,H004,4,2026-08-10
R004,C004,H019,5,2026-08-11
R005,C005,H016,4,2026-08-13
R006,C006,H010,5,2026-08-14
R007,C007,H013,4,2026-08-15
R008,C008,H023,5,2026-08-16
R009,C009,H008,4,2026-08-17
R010,C010,H025,5,2026-08-18
R011,C011,H003,5,2026-08-20
R012,C012,H018,5,2026-08-21
R013,C013,H020,4,2026-08-21
R014,C014,H012,5,2026-08-23
R015,C015,H015,4,2026-08-22
R016,C016,H011,4,2026-08-24
R017,C017,H028,5,2026-08-25
R018,C018,H022,4,2026-08-26
R019,C019,H030,5,2026-08-27
R020,C020,H006,5,2026-08-29
R021,C021,H002,4,2026-08-28
R022,C022,H005,4,2026-08-30
R023,C023,H021,4,2026-08-31
R024,C024,H009,5,2026-09-02
R025,C025,H017,4,2026-09-03
R026,C026,H024,5,2026-09-04
R027,C027,H027,5,2026-09-05
R028,C028,H014,4,2026-09-06
R029,C029,H029,5,2026-09-07
R030,C030,H026,4,2026-09-08
