booking_id,customer_id,hotel_id,check_in,check_out,guests,status
B001,C001,H001,2026-08-02,2026-08-05,2,Completed
B002,C002,H007,2026-08-04,2026-08-07,2,Completed
B003,C003,H004,2026-08-05,2026-08-09,3,Completed
B004,C004,H019,2026-08-07,2026-08-10,2,Completed
B005,C005,H016,2026-08-09,2026-08-12,2,Completed
B006,C006,H010,2026-08-10,2026-08-13,4,Completed
B007,C007,H013,2026-08-11,2026-08-14,2,Completed
B008,C008,H023,2026-08-12,2026-08-15,3,Completed
B009,C009,H008,2026-08-13,2026-08-16,2,Completed
B010,C010,H025,2026-08-14,2026-08-17,2,Completed
B011,C011,H003,2026-08-15,2026-08-19,4,Completed
B012,C012,H018,2026-08-16,2026-08-20,2,Completed
B013,C013,H020,2026-08-17,2026-08-20,3,Completed
B014,C014,H012,2026-08-18,2026-08-22,2,Completed
B015,C015,H015,2026-08-19,2026-08-21,2,Completed
B016,C016,H011,2026-08-20,2026-08-23,3,Completed
B017,C017,H028,2026-08-21,2026-08-24,2,Completed
B018,C018,H022,2026-08-22,2026-08-25,4,Completed
B019,C019,H030,2026-08-23,2026-08-26,2,Completed
B020,C020,H006,2026-08-24,2026-08-28,3,Completed
B021,C021,H002,2026-08-25,2026-08-27,2,Completed
B022,C022,H005,2026-08-26,2026-08-29,2,Completed
B023,C023,H021,2026-08-27,2026-08-30,3,Completed
B024,C024,H009,2026-08-28,2026-09-01,2,Completed
B025,C025,H017,2026-08-29,2026-09-02,2,Completed
B026,C026,H024,2026-08-30,2026-09-03,4,Completed
B027,C027,H027,2026-09-01,2026-09-04,2,Completed
B028,C028,H014,2026-09-02,2026-09-05,3,Completed
B029,C029,H029,2026-09-03,2026-09-06,2,Completed
B030,C030,H026,2026-09-04,2026-09-07,2,Completed
B031,C001,H003,2026-09-05,2026-09-08,2,Completed
B032,C002,H006,2026-09-06,2026-09-09,2,Completed
B033,C004,H024,2026-09-07,2026-09-10,3,Confirmed
B034,C007,H019,2026-09-08,2026-09-11,2,Confirmed
B035,C010,H012,2026-09-09,2026-09-12,2,Confirmed
B036,C015,H007,2026-09-10,2026-09-13,4,Confirmed
B037,C020,H018,2026-09-11,2026-09-14,2,Confirmed
B038,C021,H001,2026-09-12,2026-09-15,2,Confirmed
B039,C025,H028,2026-09-13,2026-09-16,3,Confirmed
B040,C030,H023,2026-09-14,2026-09-17,2,Cancelled
B041,C003,H009,2026-09-15,2026-09-18,2,Confirmed
B042,C008,H025,2026-09-16,2026-09-19,3,Confirmed
B043,C012,H020,2026-09-17,2026-09-20,2,Confirmed
B044,C016,H010,2026-09-18,2026-09-21,2,Confirmed
B045,C024,H016,2026-09-19,2026-09-22,4,Confirmed
B046,C026,H005,2026-09-20,2026-09-23,2,Confirmed
B047,C028,H029,2026-09-21,2026-09-24,3,Confirmed
B048,C005,H022,2026-09-22,2026-09-25,2,Confirmed
B049,C009,H011,2026-09-23,2026-09-26,2,Confirmed
B050,C013,H027,2026-09-24,2026-09-27,2,Confirmed
