customer_id,name,city,state
C001,Aarav,Hyderabad,Telangana
C002,Priya,Bengaluru,Karnataka
C003,Rahul,Chennai,Tamil Nadu
C004,Ananya,Mumbai,Maharashtra
C005,Arjun,Delhi,Delhi
C006,Meera,Pune,Maharashtra
C007,Karthik,Hyderabad,Telangana
C008,Sneha,Kochi,Kerala
C009,Rohan,Jaipur,Rajasthan
C010,Ishita,Bengaluru,Karnataka
C011,Varun,Chennai,Tamil Nadu
C012,Divya,Delhi,Delhi
C013,Aditya,Mumbai,Maharashtra
C014,Pooja,Pune,Maharashtra
C015,Manish,Hyderabad,Telangana
C016,Kavya,Kochi,Kerala
C017,Nikhil,Visakhapatnam,Andhra Pradesh
C018,Neha,Nagpur,Maharashtra
C019,Sanjay,Delhi,Delhi
C020,Riya,Bengaluru,Karnataka
C021,Vivek,Hyderabad,Telangana
C022,Swathi,Chennai,Tamil Nadu
C023,Akash,Pune,Maharashtra
C024,Shreya,Mumbai,Maharashtra
C025,Rajesh,Kolkata,West Bengal
C026,Harini,Hyderabad,Telangana
C027,Abhishek,Bengaluru,Karnataka
C028,Keerthi,Kochi,Kerala
C029,Surya,Chennai,Tamil Nadu
C030,Amrutha,Visakhapatnam,Andhra Pradesh
